ASN_config_washer_bfnd	ASN_config_washer_find
903423	3780054
883316	1541192
920743	4171093
898762	3893950
886043	946880
880250	1202788
882923	1577091
61373	1870744
900974	1674057
897608	3845273
91376	1668199
60921	1731704
55805	1795082
880143	1921403
881192	1293046
925934	3965644
886720	1567337
889737	964014
904018	4042694
60979	1741763
902796	1669057
878656	1353816
900997	1004217
894293	3778002
879276	997706
906591	903295
878753	1646475
880371	3859750
881290	1237082
878718	Timeout
883283	1865537
880398	883578
889158	4062563
878824	1027676
905004	3800514
879719	951311
899964	Timeout
880763	1028307
899745	1192204
884275	4743727
886537	952428
907374	979805
57995	1711138
880263	1110214
948293	1102546
893073	Timeout
881778	1003791
893480	1744451
945425	Timeout
907672	1740379
879299	3839110
878766	918378
77427	1733019
888978	3887090
882555	1652567
890166	1264485
884321	Timeout
61261	1751180
898029	1726788
883438	4013515
886600	1029862
898505	908128
932221	1625969
902243	Timeout
883475	1015458
888775	4060377
881215	906202
65123	1712108
881506	887878
882231	1050956
65451	1696724
888314	1874456
889559	1101608
888385	1554396
73842	1741530
882059	1062160
883252	1188359
890638	3935074
884349	1313223
878681	1013671
891018	4190953
72583	1686241
61197	1705151
887220	1342956
67364	1702888
878957	1592895
885532	1109038
62442	1718249
879883	1084009
902289	4041800
881601	1102682
881089	1187865
882893	3968083
64433	1688230
883079	1322695
902035	3776754
879212	1025084
902059	1086536
878883	920958
889823	4617399
881758	4158710
880689	1232137
881118	4154552
65786	1687018
61903	1806909
879427	1141859
884723	Timeout
888019	Timeout
884551	4194957
878718	3974985
884665	897217
880455	1551608
65099	1690529
886720	999625
882816	3934862
881320	945490
887789	3772263
883844	1087119
884094	902166
884182	1004544
898192	1812298
892664	1213711
75236	1752773
881642	1137178
883012	1148333
881122	1110555
907578	1010105
885364	1630083
58831	1740496
63157	1735372
879286	942005
922461	4134950
879958	1017014
62185	1761803
879744	1202708
909101	1776806
67382	1758273
73595	1691038
879714	1258635
921044	1194682
886625	922556
880821	1104996
65551	1715558
881747	916679
878784	1194804
887580	3772482
878754	Timeout
61620	1731863
879653	Timeout
883912	922262
904989	1693380
886804	1714881
880281	1014536
879390	984108
888485	4210739
884791	1663504
888646	Timeout
880913	1302866
879290	1857952
879463	4197520
886727	935377
880822	4576386
907663	4206057
70728	1716777
59703	1719107
72738	1674996
880198	1277970
883009	943352
878656	1709861
883983	930352
935552	3807335
883595	970969
62363	1804940
879462	1096564
893203	1125898
894940	4680549
879745	936844
901500	1271807
880638	1307712
883828	1007224
899403	Timeout
65930	1708377
886912	1539918
879869	901239
887256	1625058
900431	1628084
894562	3845569
59414	1715073
934881	1894325
882352	1198331
59302	1706749
884738	1062860
73051	1716495
895862	1235434
887115	1338077
888402	3775658
881507	1553197
888959	1245128
879687	Timeout
879123	954275
916069	4771619
879244	1101915
883545	4580177
67157	1735686
64943	1698419
897420	4462163
879510	956059
882043	1229929
61297	1708790
878557	941746
880016	4666714
882453	3815515
885620	1055672
885448	4254103
912534	1248953
880784	1249056
880932	904051
878628	1101522
910490	950436
933738	1293368
930006	1111779
885510	1215892
70716	1726950
879123	1013926
57583	1796809
896217	1552179
884066	990611
66556	1711238
879974	1104709
883974	1193711
878557	1049417
906970	4606817
887118	1855816
881940	1949991
885940	1114343
70714	1692573
886851	1664774
879811	3854794
879912	1571356
905489	1249522
59744	1726075
886469	933258
80048	1696777
897469	1171759
885468	897456
84724	1949638
879426	912958
879799	1058974
881554	1584235
879656	1222253
885318	4121265
883046	957044
889106	1063730
59253	1745291
896431	3862933
881901	1064759
941144	4058199
66376	1686489
909649	4172327
880185	986396
878645	1353726
887524	1005307
880690	1091694
879570	1069392
882436	1003959
879596	928983
60751	1763567
894934	959212
66592	1701879
880018	1144520
893203	4230301
62669	1700865
905154	910765
883430	1808580
57381	1746223
72384	1709879
68252	1754632
63830	1687151
883802	1121959
884875	1114135
882608	1349703
904311	4214321
879556	Timeout
892072	1254943
882430	1669264
878840	3779100
74376	1697046
892294	3883776
890612	1061191
892154	3999520
880177	1041659
63761	1717605
56149	1744080
58037	1715146
62800	1712957
885507	1639704
878600	1939529
60087	1735770
976683	1601691
880619	1069803
894617	1064391
64883	1709314
901419	Timeout
912104	1051779
66284	1724307
882425	3929771
892876	Timeout
63596	1727261
57734	1763149
884228	1590691
881369	1129211
881667	1232271
60196	1709673
900650	3985601
882914	1580042
884611	1235132
883620	1308306
67028	1713702
880722	897182
881101	1190372
881516	973013
881486	1288141
879023	3874976
883565	4205880
878791	969388
63632	1689376
894502	895918
69216	1696714
73482	1717222
76516	1686453
879914	1094015
879891	1735113
58079	1739550
881447	1290590
878552	4687404
879685	1036092
882248	948580
882244	1205772
880190	923876
885668	1871440
942946	1105598
883006	1188334
881924	Timeout
60298	1748423
61775	1773115
878735	3837103
884543	1043130
59930	1728773
890441	954835
927536	Timeout
887926	1041093
881138	1028414
888016	3838387
882576	1081295
900334	4159487
887891	911829
893620	1801598
96246	1689760
878673	1884261
57782	1720117
65760	1696823
880834	1167702
879705	939458
67180	1703616
884687	1558183
61242	1696363
882566	990076
57189	1720421
57344	1719800
62599	1736948
879646	3927104
882686	1094953
886908	1032620
883596	1018341
881190	899324
879780	1748220
905537	1837445
890856	1063963
886329	1548365
879615	1205091
885091	1004754
878984	1685953
58768	1731606
905086	4812951
880878	1232152
884108	1724198
887000	960858
892739	1881112
902029	4206864
879561	4148705
