ASN_config_jogging_bfnd	ASN_config_jogging_find
17572	17990
10649	64483
16364	196929
16019	49476
44141	1186785
56288	3548743
30530	169047
29542	731339
10415	47788
43004	Timeout
11258	3423212
9748	51154
12355	1139036
3925	1950374
37616	3565603
11348	818951
11600	46692
10162	3811340
9071	852448
17560	40769
37652	58727
6203	102576
34157	37221
12644	53949
51404	26865
15883	2766042
65372	710051
20046	72940
13066	36087
8180	13586
11351	4334216
10149	53431
30832	462916
11524	3001120
22160	20152
15350	36249
12484	52185
19742	37837
64065	1756694
12670	31157
12656	50202
32426	377077
59895	3988977
9342	66614
4654	869047
14760	968826
17074	84475
24526	1849012
17687	717674
12194	707577
17145	44916
30802	2002723
8911	33035
16015	1776947
35633	855886
18896	92272
23349	1134209
10839	13951
17578	2573682
9708	42803
43447	156143
34059	1945650
33574	415104
15696	42667
37181	2618210
11958	124209
8132	771439
9049	41018
14245	39026
52747	53318
16229	45471
22678	29989
29542	32697
10736	49752
25364	464342
12125	1301556
17957	29207
24017	275505
44107	Timeout
10247	646214
17142	38942
9966	74344
30663	314689
49401	1690644
11510	81473
11245	25948
51631	157310
68945	2213101
33832	363208
33361	699972
11768	41669
11587	2003952
12720	74675
38850	61945
43522	4960950
13378	87288
29201	33924
12367	631962
10268	36684
17125	108648
12193	107815
7633	558298
16580	83991
10688	37299
12564	24131
10490	24017
20724	25726
21444	30198
15945	51252
16300	59426
23193	39756
33620	118687
16082	17555
10560	25798
11183	81764
19552	129281
12650	192519
46714	75782
11504	41906
24714	376136
122863	564001
32511	3811506
9988	44707
18931	15878
24077	1890259
15846	167832
12089	37701
16075	55108
8338	61284
19991	80258
24086	49477
12117	27134
6994	45165
32041	66469
6987	808184
30420	57341
31642	26913
58365	134313
39685	2810933
19770	4367662
18290	1085700
17021	34126
9978	1289210
74679	1184078
10267	24451
18326	191564
10823	708092
17323	45020
15325	94146
62984	92747
11822	154779
10744	1854042
8506	41724
30151	1224580
10792	1976248
47743	1694269
24688	357682
30466	1736161
99080	1450282
6921	68211
43072	130012
12958	615953
11245	75258
58528	868869
12462	918635
11705	45492
13697	48373
37434	4714053
32964	1129995
15656	431905
16784	785468
33527	1216505
30540	1290292
38973	1076999
16116	937313
39745	1540252
15535	1442130
43622	2206369
59877	3792323
47519	3359129
24000	3363358
35163	4535977
